Especie,Area_cm2,Circularidad,Relacion_Aspecto,Color_H,Color_S,Color_V,Contraste,Entropia,Homogeneidad,Brillo
V01,409.5598,0.3587080246595226,0.5314520870076426,76.73039480927667,50.81046035876109,166.23177409088066,26.931633068941164,20.61204526177676,0.5072653380325987,166.23177409088066
V01,417.245,0.1644561916260057,0.49539170506912444,82.37575136704909,52.681581138273295,160.61719482583817,27.405885573973066,20.86952049139211,0.4819999172320684,160.61719482583817
V01,817.9116,0.05402399910998287,1.5892298058860364,79.8870877644513,54.949445131252666,151.0669286177322,10.873371708904237,20.74222839274543,0.5585954174635243,151.0669286177322
V01,714.2974,0.04945738973959418,1.6452074391988556,75.34581160406117,55.91801773052624,154.62959603848427,16.333867602643185,21.52269367169988,0.4703133569101928,154.62959603848427
V01,433.59720000000004,0.24374005444816876,1.632694248234107,80.52497074242586,52.050586644215954,155.80546788234872,22.48021570426434,20.123528217281457,0.5556260617330937,155.80546788234872
V01,426.7606,0.028420909021715453,0.6613095238095238,73.84439093284591,65.23963635884449,142.70250755195676,10.35760856175795,20.925962187851145,0.4886986678136914,142.70250755195676
V01,258.2052,0.3601611130595106,0.6781411359724613,79.83852331673424,57.73074569161401,126.67964362679776,7.219658244114205,20.05541530690698,0.5423321520450057,126.67964362679776
V01,472.0756,0.32677339102013014,0.5675519630484989,81.33814025014024,45.55569758769759,152.15490717090717,7.162996286016892,19.6205696515315,0.6269416086408468,152.15490717090717
V01,470.48720000000003,0.1966031305176219,0.6192546583850932,77.09912903104704,56.54080854605921,139.05000854398793,15.822968633728994,20.924035104775644,0.4831040253032255,139.05000854398793
V01,395.73,0.24098890390883454,1.612972972972973,78.81001851576029,55.34866249916036,148.8650335415626,26.607588666950367,20.638674548599496,0.5258492024280481,148.8650335415626
V01,561.6196,0.025318281241403465,0.8254963427377221,74.77263712514687,65.44173609387019,146.5226872732072,11.257799593233731,21.113693169225385,0.47449568302545464,146.5226872732072
V01,476.98920000000004,0.24389835760810347,1.5691588785046728,76.60117003880522,46.20618765997281,164.6519932842932,22.883921240775194,20.796629175697195,0.5159868576561315,164.6519932842932
V01,728.4798000000001,0.06649548730818079,0.7243617481609693,80.43493011780478,51.98986975144028,149.56567402213307,10.570395407297378,19.939281086955837,0.5960841115814042,149.56567402213307
V01,477.461,0.2558247204146177,0.6142414860681115,77.40073532792438,55.93634892367486,148.07930415112384,10.938214906132874,19.76648641646239,0.6030119599782837,148.07930415112384
V01,290.14140000000003,0.5233773851219965,0.5399858457183297,84.774924086472,62.07193402918218,176.29859160031148,24.23212115227588,19.798845499652963,0.508154104599883,176.29859160031148
V01,505.9442,0.052039267310491896,0.566728452270621,72.55516036782119,52.611833012505365,145.27643576285504,24.089011438355023,20.8590891414154,0.5069103135427386,145.27643576285504
V01,787.5072,0.06668676792841458,0.8436041083099907,83.04095527903326,53.30009879058598,154.0344441035623,12.311999615966005,20.39912037995109,0.5491648158412885,154.0344441035623
V01,394.2672,0.18665149399666467,0.5994712491738269,79.28548268592745,57.518010223558,142.61154518958926,13.610326362689436,20.555509370693485,0.5308041393377698,142.61154518958926
V01,370.7576,0.34921456032804443,0.509397278029812,71.06680534669557,54.716149608843125,131.86884118031915,26.670015051483226,20.851277663731647,0.4886798275578331,131.86884118031915
V01,454.0002,0.2617425556967417,1.5825242718446602,76.64779878804124,48.77679483155923,164.13805488117617,29.989357828289798,20.80012950337319,0.49969442429282795,164.13805488117617
V01,478.367,0.46936035482380767,1.8135048231511255,72.12926869080387,51.319659073668696,153.22233393929213,18.846518552728263,20.19519048117871,0.5164839989807786,153.22233393929213
V01,533.4234,0.33440290166050096,1.869215291750503,74.2055320781449,47.731350081806994,158.1461923460926,19.120876219484558,20.27679926388109,0.5339033148584678,158.1461923460926
V01,389.642,0.20154777258944973,0.5843568196509373,79.32097714037856,58.046260416955064,141.89765608128684,23.514638805470582,20.53419802410058,0.5225593481180162,141.89765608128684
V01,556.1136,0.03035936910072863,1.667680608365019,73.18910185912543,57.079846279438726,145.4072565962756,19.860367270804318,20.87857804563815,0.5276038378028347,145.4072565962756
V01,383.37620000000004,0.39855490397683613,0.5185185185185185,79.20041013790994,49.20592092197183,119.16671338629172,17.43595057945266,19.133745796546844,0.6643030967700096,119.16671338629172
V01,384.3782,0.29002521188416897,2.0378510378510377,79.21633678686013,47.0870102800937,158.47872653396539,23.43533685169798,20.131381736141133,0.5339135181130334,158.47872653396539
V01,406.3124,0.023213818399902542,0.801600914808462,74.52880898138095,78.99393763386213,143.34967015051961,14.387621215715233,20.675885268600084,0.4694126938360098,143.34967015051961
V01,422.45840000000004,0.2440751820621317,0.7090020935101187,80.14108926691708,51.57081624300167,152.05037324408184,22.0962240195068,20.485557103404,0.5213781136209691,152.05037324408184
